country_iso3,country,country_name,document_count,balance_raw,balance_raw_observed,balance_raw_total,balance_raw_coverage,balance_raw_threshold_met,balance_raw_all_zero_conf,dimensions_scored,dimensions_total,dimensions_verified,dimensions_failed,unverified_dimensions,failed_dimensions,missing_dimensions,law_and_institutions_de_jure,law_and_institutions_de_facto,law_and_institutions_gap,law_and_institutions_confidence,law_and_institutions_page,law_and_institutions_status,law_and_institutions_quote,law_and_institutions_source_pdf,law_and_institutions_n_docs,standards_de_jure,standards_de_facto,standards_gap,standards_confidence,standards_page,standards_status,standards_quote,standards_source_pdf,standards_n_docs,audit_and_enforcement_de_jure,audit_and_enforcement_de_facto,audit_and_enforcement_gap,audit_and_enforcement_confidence,audit_and_enforcement_page,audit_and_enforcement_status,audit_and_enforcement_quote,audit_and_enforcement_source_pdf,audit_and_enforcement_n_docs,worker_protection_de_jure,worker_protection_de_facto,worker_protection_gap,worker_protection_confidence,worker_protection_page,worker_protection_status,worker_protection_quote,worker_protection_source_pdf,worker_protection_n_docs,transparency_de_jure,transparency_de_facto,transparency_gap,transparency_confidence,transparency_page,transparency_status,transparency_quote,transparency_source_pdf,transparency_n_docs
ARE,ARE_Federal_Decree_Law_45_Data_Protection_2021,ARE_Federal_Decree_Law_45_Data_Protection_2021,2,0.1644,5,5,5/5,True,False,5,5,5,0,,,,1.0,1.0,0.0,0.81,1,scored,launch leadership strategy and issue a government law on the safe use of AI.,ARE_National_Strategy_for_AI_2031_2017,2,0.0,0.0,0.0,0.92,1,scored,launch leadership strategy and issue a government law on the safe use of AI.,ARE_National_Strategy_for_AI_2031_2017,2,0.0,0.0,0.0,0.92,1,scored,launch leadership strategy and issue a government law on the safe use of AI.,ARE_National_Strategy_for_AI_2031_2017,2,1.0,1.0,0.0,0.4,21,scored,"The Controller shall engage human resources in reviewing Automated Processing decisions, at the request of the Data Subject.",ARE_Federal_Decree_Law_45_Data_Protection_2021,2,1.0,1.0,0.0,0.58,21,scored,The Controller shall provide appropriate and clear ways and mechanisms to enable the Data Subject to communicate therewith and request the exercise of any of his/her rights stipulated herein.,ARE_Federal_Decree_Law_45_Data_Protection_2021,2
ARG,ARG_Ley_25326_Personal_Data_Protection_2000,ARG_Ley_25326_Personal_Data_Protection_2000,2,0.266,5,5,5/5,True,False,5,5,5,0,,,,1.0,1.0,0.0,0.92,26,scored,"Establecer buenas prácticas y mecanismos para el desarrollo e implementación de IA en línea con los derechos humanos, confiable y ética.",ARG_Plan_Nacional_de_IA_2019,2,1.0,0.0,1.0,0.85,135,scored,"Organismos como OCDE, en el plano multilateral, han avanzado también en ese sentido y ejecutado iniciativas tendientes a sentar las bases para que los países promuevan el desarrollo de IA de acuerdo a determinados valores, reglas y estándares.",ARG_Plan_Nacional_de_IA_2019,2,1.0,0.0,1.0,0.85,104,scored,"Establecer y mejorar los mecanismos de control periódicos de la correcta ejecución de los proyectos, evaluación del grado de satisfacción de los usuarios y sugerencias y comentarios por parte de los administradores de los centros.",ARG_Plan_Nacional_de_IA_2019,2,1.0,1.0,0.0,0.82,39,scored,Diseñar una estrategia que nos prepare para esta transición es indispensable.,ARG_Plan_Nacional_de_IA_2019,2,1.0,1.0,0.0,0.77,21,scored,"Optimizar la provisión de servicios públicos mediante la utilización de sistemas de IA trazables, con lógica fundamentada y transparente que no afecten derechos de los ciudadanos.",ARG_Plan_Nacional_de_IA_2019,2
AUS,AUS_AI_Ethics_Framework_2019,AUS_AI_Ethics_Framework_2019,2,0.3308,5,5,5/5,True,False,5,5,5,0,,,,2.0,1.0,1.0,0.83,19,scored,"This Act binds the Crown in right of the Commonwealth, of each of the States, of the Australian Capital Territory and of the Northern Territory.",AUS_Privacy_Act_1988,2,1.0,1.0,0.0,0.82,38,scored,Establishing industry standards supported by up-to-date guidelines could provide a baseline level of assessment for all AI used in Australia to support the use of fair algorithms.,AUS_AI_Ethics_Framework_2019,2,1.0,0.0,1.0,0.89,21,scored,"The report emphasises that designing procedures, tools, and methods that allow for the auditing of AI systems will be key in ensuring that the systems conform to legal and ethical frameworks.",AUS_AI_Ethics_Framework_2019,2,1.0,1.0,0.0,0.61,15,scored,"The world of transportation faces a possible wave of disruption as automated vehicles move on to the roads, displacing jobs and creating new ones.",AUS_AI_Ethics_Framework_2019,2,1.0,1.0,0.0,0.85,6,scored,People must be informed when an algorithm is being used that impacts them and they should be provided with information about what information the algorithm uses to make decisions.,AUS_AI_Ethics_Framework_2019,2
AUT,AUT_AIM_AT_2030_AI_Mission_Austria_2021,AUT_AIM_AT_2030_AI_Mission_Austria_2021,2,0.6184,5,5,5/5,True,False,5,5,5,0,,,,2.0,1.0,1.0,0.69,14,scored,"Rechtliche Unsicherheit kann die Verbreitung von KI verzögern, etwa wenn Unklarheiten beim Eigentum an Daten, beim Datenschutz im Zusammenhang mit KI-Anwendungen in der Cloud oder im Zusammenhang mit dem autonomen Fahren entstehen.",AUT_AIM_AT_2030_AI_Mission_Austria_2021,2,2.0,1.0,1.0,0.67,14,scored,"KI muss durch klare Regeln für Unternehmen, Staat und Bürger möglichst sicher, transparent und zuverlässig sein.",AUT_AIM_AT_2030_AI_Mission_Austria_2021,2,3.0,3.0,0.0,0.85,13,scored,Die Datenschutzbehörde kann vom Verantwortlichen oder Auftragsverarbeiter der überprüften Datenverarbeitung insbesondere alle notwendigen Aufklärungen verlangen und Einschau in Datenverarbeitungen und diesbezügliche Unterlagen begehren.,AUT_Datenschutzgesetz_DSG_2018,2,2.0,1.0,1.0,0.61,14,scored,KI wird große Auswirkungen auf Arbeitsmarkt und Gesellschaft haben. Verschiedene Berufe werden sich radikal verändern oder sogar überflüssig werden.,AUT_AIM_AT_2030_AI_Mission_Austria_2021,2,2.0,1.0,1.0,0.77,14,scored,"KI muss durch klare Regeln für Unternehmen, Staat und Bürger möglichst sicher, transparent und zuverlässig sein.",AUT_AIM_AT_2030_AI_Mission_Austria_2021,2
BEL,BEL_AI_4_Belgium_Strategy_2019,BEL_AI_4_Belgium_Strategy_2019,2,0.5198,5,5,5/5,True,False,5,5,5,0,,,,2.0,1.0,1.0,0.64,6,scored,"Ce plan a été approuvé lors du Conseil des ministres du 28 octobre 2022, et propose des actions concrètes pour faire de la Belgique une #SmartAINation.",BEL_AI_4_Belgium_Strategy_2019,2,2.0,1.0,1.0,0.62,36,scored,Le responsable du traitement ainsi que le sous-traitant prennent les mesures techniques et organisationnelles appropriées requises pour protéger les données à caractère personnel contre la destruction accidentelle ou non autorisée,BEL_Loi_du_30_Juillet_2018_Protection_des_Donnees_2018,2,2.0,2.0,0.0,0.8,69,scored,"L'Organe de contrôle, ses membres et les membres du service d'enquête ont un accès illimité à toutes informations et données traitées par les services visés par l'article 26, 7°, a), d), et f)",BEL_Loi_du_30_Juillet_2018_Protection_des_Donnees_2018,2,1.0,1.0,0.0,0.43,135,scored,"Pour les travailleurs âgés de 55 ans et plus, confrontés à un problème médical ou autre ne leur permettant plus de poursuivre leur activité et qui de ce fait sont licenciés par leur employeur",BEL_Loi_du_30_Juillet_2018_Protection_des_Donnees_2018,2,2.0,1.0,1.0,0.62,31,scored,De verwerkingsverantwoordelijke maakt de contactgegevens van de functionaris voor gegevensbescherming openbaar en deelt die mee aan de bevoegde toezichthoudende autoriteit.,BEL_Loi_du_30_Juillet_2018_Protection_des_Donnees_2018,2
BGD,BGD_National_Strategy_for_AI_2020,BGD_National_Strategy_for_AI_2020,2,0.0968,5,5,5/5,True,False,5,5,5,0,,,,1.0,1.0,0.0,0.83,39,scored,"The national AI strategy will emphasize scientific excellence using the code of ethics, regulations and data privacy.",BGD_National_Strategy_for_AI_2020,2,0.0,0.0,0.0,0.85,3,scored,To comprehend the forthcoming difficulties of artificial intelligence it is essential to have an ideal procedure for applying AI in different sectors.,BGD_National_Strategy_for_AI_2020,2,0.0,0.0,0.0,0.94,4,scored,"If we can ensure good governance in AI strategy implementation from the very beginning, we can make Bangladesh truly innovative land through AI.",BGD_National_Strategy_for_AI_2020,2,0.0,0.0,0.0,0.85,18,scored,"Every data controller and processor shall take appropriate technical and organizational measures in relation to the processing of personal data in such a way as to ensure the security, integrity and confidentiality of personal data",BGD_Personal_Data_Protection_Ordinance_2025,2,1.0,0.0,1.0,0.85,39,scored,"The AI strategy will create a new set of AI ethics guidelines to address issues such as fairness, safety, cyber security, and transparency.",BGD_National_Strategy_for_AI_2020,2
BRA,BRA_EBIA_Estrategia_Brasileira_de_IA_2021,BRA_EBIA_Estrategia_Brasileira_de_IA_2021,2,0.3294,5,5,5/5,True,False,5,5,5,0,,,,2.0,1.0,1.0,0.72,7,scored,"The supervisory authority may provide on standards and techniques used in anonymization processes and make verifications about the security thereof, after consultation with the Brazilian Personal Data Protection Board.",BRA_LGPD_Lei_13709_General_Data_Protection_Law_2018,2,1.0,0.0,1.0,0.73,8,scored,"Diferentes organismos internacionais têm buscado criar ambientes em que seja possível pactuar globalmente princípios éticos, padrões técnicos e promover o compartilhamento de conhecimento, melhores práticas e métricas",BRA_EBIA_Estrategia_Brasileira_de_IA_2021,2,2.0,1.0,1.0,0.75,13,scored,"The acts performed by any certification organization may be reviewed by the supervisory authority and, in case they are not in compliance with this Law, they shall be revised or annulled.",BRA_LGPD_Lei_13709_General_Data_Protection_Law_2018,2,1.0,1.0,0.0,0.77,10,scored,"é importante que políticas públicas no campo de IA enderecem os desafios relacionados à força de trabalho, seja no que se refere à formação de profissionais para atuar na área",BRA_EBIA_Estrategia_Brasileira_de_IA_2021,2,1.0,0.0,1.0,0.83,5,scored,Organizações e indivíduos que desempenham um papel ativo no ciclo de vida de IA devem se comprometer com a transparência e com a divulgação responsável em relação a sistemas de IA,BRA_EBIA_Estrategia_Brasileira_de_IA_2021,2
CAN,CAN_PIPEDA_Personal_Information_Protection_Act_2000,CAN_PIPEDA_Personal_Information_Protection_Act_2000,2,0.1667,5,5,5/5,True,False,5,5,3,0,"audit_and_enforcement,transparency",,,1.0,1.0,0.0,0.95,1,scored,"To develop global thought leadership on the economic, ethical, policy and legal implications of advances in artiﬁcial intelligence.",CAN_Pan_Canadian_AI_Strategy_2017,2,0.0,0.0,0.0,0.95,1,scored,"To develop global thought leadership on the economic, ethical, policy and legal implications of advances in artiﬁcial intelligence.",CAN_Pan_Canadian_AI_Strategy_2017,2,2.0,2.0,0.0,0.0,0,scored,"An organization shall investigate all complaints. If a complaint is found to be justified, the organization shall take appropriate measures, including, if necessary, amending its policies and practices.",CAN_PIPEDA_Personal_Information_Protection_Act_2000,2,1.0,0.0,1.0,0.83,2,scored,"Advances in AI will have profound implications for the economy, government and society.",CAN_Pan_Canadian_AI_Strategy_2017,2,1.0,1.0,0.0,0.0,0,scored,"The Strategy funds policy-relevant working groups to examine these implications, publish their ﬁndings and inform the public and policy-makers.",CAN_Pan_Canadian_AI_Strategy_2017,2
CHE,CHE_AI_Action_Plan_2025,CHE_AI_Action_Plan_2025,2,0.2696,5,5,5/5,True,False,5,5,5,0,,,,1.0,0.0,1.0,0.6,3,scored,"Switzerland must ﬁnd its AI position to make a difference in the global AI ecosystem - one based on Swiss values such as openness, collaboration and trust.",CHE_AI_Action_Plan_2025,2,1.0,0.0,1.0,0.38,3,scored,"Switzerland must ﬁnd its AI position to make a difference in the global AI ecosystem - one based on Swiss values such as openness, collaboration and trust.",CHE_AI_Action_Plan_2025,2,0.0,0.0,0.0,0.8,3,scored,"Switzerland must ﬁnd its AI position to make a difference in the global AI ecosystem - one based on Swiss values such as openness, collaboration and trust.",CHE_AI_Action_Plan_2025,2,1.0,1.0,0.0,0.48,3,scored,"As opposed to many other countries, Switzerland is lacking a strategy for what to achieve and how to use AI.",CHE_AI_Action_Plan_2025,2,2.0,2.0,0.0,0.72,25,scored,The FDPIC shall keep a register of the processing activities of federal bodies. The register shall be published.,CHE_FADP_Federal_Data_Protection_Act_2020,2
CHL,CHL_Ley_21719_Personal_Data_Protection_2024,CHL_Ley_21719_Personal_Data_Protection_2024,2,0.4449,5,5,5/5,True,False,5,5,5,0,,,,2.0,1.0,1.0,0.77,19,scored,"Créase la Agencia de Protección de Datos Personales, corporación autónoma de derecho público, de carácter técnico, descentralizado, con personalidad jurídica y patrimonio propio, que se relacionará con el Presidente de la República a través del Ministerio de Economía, Fomento y Turismo.",CHL_Ley_21719_Personal_Data_Protection_2024,2,1.0,1.0,0.0,0.72,3,scored,El responsable deberá ser capaz de acreditar la licitud del tratamiento de datos personales que realiza.,CHL_Ley_21719_Personal_Data_Protection_2024,2,2.0,1.0,1.0,0.83,19,scored,"Fiscalizar el cumplimiento de las disposiciones de esta ley, sus reglamentos y las instrucciones y normas generales que se dicten respecto de los tratamientos de datos personales.",CHL_Ley_21719_Personal_Data_Protection_2024,2,1.0,1.0,0.0,0.4,30,scored,"La regulación interna a que dé lugar la implementación del programa, en su caso, deberá ser incorporada expresamente como una obligación en los contratos de trabajo o de prestación de servicios de todos los trabajadores",CHL_Ley_21719_Personal_Data_Protection_2024,2,2.0,1.0,1.0,0.67,9,scored,"El responsable de datos debe facilitar y mantener permanentemente a disposición del público, en su sitio web o en cualquier otro medio de información equivalente, al menos, la siguiente información",CHL_Ley_21719_Personal_Data_Protection_2024,2
